config,trial,gateway_cpu_pct,client_cpu_pct,system_usr_pct,system_sys_pct
wg_baseline,1,0.00,0.00,0.12,12.85
wg_baseline,2,0.00,0.00,0.61,11.30
wg_baseline,3,0.00,0.00,0.01,11.12
wg_baseline,4,0.00,0.00,0.12,12.79
wg_baseline,5,0.00,0.00,0.10,11.21
wg_baseline,6,0.00,0.00,0.32,12.81
wg_baseline,7,0.00,0.00,0.11,11.20
wg_baseline,8,0.00,0.00,0.50,11.17
wg_baseline,9,0.00,0.00,0.10,11.12
wg_baseline,10,0.00,0.00,0.11,11.09
wg_nftables,1,0.00,0.00,0.19,12.33
wg_nftables,2,0.00,0.00,0.13,11.01
wg_nftables,3,0.00,0.00,0.52,11.10
wg_nftables,4,0.00,0.00,0.02,12.50
wg_nftables,5,0.00,0.00,0.20,10.93
wg_nftables,6,0.00,0.00,0.02,12.39
wg_nftables,7,0.00,0.00,0.30,10.83
wg_nftables,8,0.00,0.00,0.11,11.07
wg_nftables,9,0.00,0.00,0.51,12.38
wg_nftables,10,0.00,0.00,0.10,11.02
wg_tag_only,1,0.00,0.00,0.11,12.89
wg_tag_only,2,0.00,0.00,0.11,12.99
wg_tag_only,3,0.00,0.00,0.17,12.91
wg_tag_only,4,0.00,0.00,0.49,13.09
wg_tag_only,5,0.00,0.00,0.02,11.22
wg_tag_only,6,0.00,0.00,0.21,11.30
wg_tag_only,7,0.00,0.00,0.02,11.24
wg_tag_only,8,0.00,0.00,0.32,12.83
wg_tag_only,9,0.00,0.00,0.12,11.38
wg_tag_only,10,0.00,0.00,0.50,11.39
wg_enforce_nocache,1,0.00,0.00,0.10,11.43
wg_enforce_nocache,2,0.00,0.00,0.11,11.33
wg_enforce_nocache,3,0.00,0.00,0.11,11.34
wg_enforce_nocache,4,0.00,0.00,0.21,12.92
wg_enforce_nocache,5,0.00,0.00,0.37,11.50
wg_enforce_nocache,6,0.00,0.00,0.12,11.26
wg_enforce_nocache,7,0.00,0.00,0.19,11.35
wg_enforce_nocache,8,0.00,0.00,0.03,13.01
wg_enforce_nocache,9,0.00,0.00,0.41,11.44
wg_enforce_nocache,10,0.00,0.00,0.12,11.50
wg_enforce_cache,1,0.00,0.00,0.50,11.51
wg_enforce_cache,2,0.00,0.00,0.11,11.41
wg_enforce_cache,3,0.00,0.00,0.11,11.37
wg_enforce_cache,4,0.00,0.00,0.11,11.50
wg_enforce_cache,5,0.00,0.00,0.21,11.40
wg_enforce_cache,6,0.00,0.00,0.41,11.45
wg_enforce_cache,7,0.00,0.00,0.13,11.29
wg_enforce_cache,8,0.00,0.00,0.19,11.47
wg_enforce_cache,9,0.00,0.00,0.03,11.36
wg_enforce_cache,10,0.00,0.00,0.39,11.39
