metric,trial,value_us
epoch_bump,1,194
epoch_bump,2,190
epoch_bump,3,195
epoch_bump,4,189
epoch_bump,5,190
epoch_bump,6,189
epoch_bump,7,190
epoch_bump,8,190
epoch_bump,9,189
epoch_bump,10,190
new_conn_block,1,145
steady_state_median,1,108
new_conn_block,2,146
steady_state_median,2,100
new_conn_block,3,151
steady_state_median,3,106
new_conn_block,4,137
steady_state_median,4,101
new_conn_block,5,148
steady_state_median,5,99
new_conn_block,6,153
steady_state_median,6,102
new_conn_block,7,150
steady_state_median,7,94
new_conn_block,8,144
steady_state_median,8,109
new_conn_block,9,145
steady_state_median,9,99
new_conn_block,10,142
steady_state_median,10,97
cache_invalidation,1,0
cache_invalidation,2,0
cache_invalidation,3,0
cache_invalidation,4,0
cache_invalidation,5,0
cache_invalidation,6,0
cache_invalidation,7,0
cache_invalidation,8,0
cache_invalidation,9,0
cache_invalidation,10,0
